Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,File,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,,,System.Drawing.Common 6.0.0,,,,,"System.Drawing.Common, 6.0.0  Recommendation:  Remove System.Drawing.Common, and replace with new package System.Drawing.Common 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,File,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,,,System.IO.Pipelines 9.0.6,,,,,"System.IO.Pipelines, 9.0.6  Recommendation:  Remove System.IO.Pipelines, and replace with new package System.IO.Pipelines 10.0.2"
NuGet.0006,NuGet package source mappings are recommended,Active,Information,1,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,File,NuGet.config,,,,,,,,Found 1 files matching the rule:    %USERPROFILE%\source\repos\Quorum.QFCCore\Quorum.QFCCore.Workflow\CoreWF\src\NuGet.config  
NuGet.0005,NuGet package is deprecated,Active,Optional,1,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,File,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,,,Azure.Identity 1.14.0,,,,,"Azure.Identity, 1.14.0  Recommendation:  This version takes a dependency on a deprecated version of MSAL .NET (Microsoft.Identity.Client). Remove Azure.Identity, and replace with new package Azure.Identity, 1.17.1"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,File,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,,,Microsoft.Azure.ServiceBus 5.2.0,,,,,"Microsoft.Azure.ServiceBus, 5.2.0  Recommendation:  Please note, this package is obsolete and will no longer be maintained after 9/30/2026. Microsoft encourages you to upgrade to the replacement package, Azure.Messaging.ServiceBus, to continue receiving updates. Refer to the migration guide (https://aka.ms/azsdk/net/migrate/sb) for guidance on upgrading. Refer to our deprecation policy (https://aka.ms/azsdk/support-policies) for more details. Remove Microsoft.Azure.ServiceBus, and replace with new package Microsoft.Azure.ServiceBus, 5.2.0"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,File,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,,,Microsoft.Azure.Storage.Blob 11.2.3,,,,,"Microsoft.Azure.Storage.Blob, 11.2.3  Recommendation:  Please note, this package is obsolete as of 3/31/2023 and is no longer maintained or monitored. Microsoft encourages you to upgrade to the replacement package, Azure.Storage.Blobs, to continue receiving updates. Refer to the migration guide (https://github.com/Azure/azure-sdk-for-net/blob/master/sdk/storage/Azure.Storage.Blobs/AzureStorageNetMigrationV12.md) for guidance on upgrading. Refer to our deprecation policy (https://aka.ms/azsdk/support-policies) for more details. Remove Microsoft.Azure.Storage.Blob, and replace with new package Microsoft.Azure.Storage.Blob, 11.2.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,File,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,,,,,,,,Current target framework: net6.0;net6.0-windows Recommended target framework: net6.0;net6.0-windows;net10.0;net10.0--windows
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,File,Perf\Perf.AssemblyReference.Benchmarks\Benchmarks\AssemblyReferenceBenchmarks.cs,83,16,T:Microsoft.Extensions.DependencyModel.DependencyContextExtensions,,,,,foreach (var assemblyName in lib.GetDefaultAssemblyNames(deps))                  {                      try                      {                          if (AppDomain.CurrentDomain.GetAssemblies().All(a => a.GetName().Name != assemblyName.Name))                          {                              Assembly.Load(assemblyName);                          }                      }                      catch                      {                          // Skip failed loads                      }                  }
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,File,Perf\Perf.AssemblyReference.Benchmarks\Benchmarks\AssemblyReferenceBenchmarks.cs,83,16,"M:Microsoft.Extensions.DependencyModel.DependencyContextExtensions.GetDefaultAssemblyNames(Microsoft.Extensions.DependencyModel.RuntimeLibrary,Microsoft.Extensions.DependencyModel.DependencyContext)",,,,,foreach (var assemblyName in lib.GetDefaultAssemblyNames(deps))                  {                      try                      {                          if (AppDomain.CurrentDomain.GetAssemblies().All(a => a.GetName().Name != assemblyName.Name))                          {                              Assembly.Load(assemblyName);                          }                      }                      catch                      {                          // Skip failed loads                      }                  }
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,File,Perf\Perf.AssemblyReference.Benchmarks\Benchmarks\AssemblyReferenceBenchmarks.cs,79,12,P:Microsoft.Extensions.DependencyModel.DependencyContext.RuntimeLibraries,,,,,var assemblies = deps.RuntimeLibraries;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,File,Perf\Perf.AssemblyReference.Benchmarks\Benchmarks\AssemblyReferenceBenchmarks.cs,78,12,T:Microsoft.Extensions.DependencyModel.DependencyContext,,,,,var deps = DependencyContext.Default;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,File,Perf\Perf.AssemblyReference.Benchmarks\Benchmarks\AssemblyReferenceBenchmarks.cs,78,12,T:Microsoft.Extensions.DependencyModel.DependencyContext,,,,,var deps = DependencyContext.Default;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,File,Perf\Perf.AssemblyReference.Benchmarks\Benchmarks\AssemblyReferenceBenchmarks.cs,78,12,P:Microsoft.Extensions.DependencyModel.DependencyContext.Default,,,,,var deps = DependencyContext.Default;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,File,Perf\Perf.AssemblyReference.Benchmarks\Benchmarks\AssemblyReferenceBenchmarks.cs,73,12,T:System.Uri,,,,,"_ = new BlobClient(new Uri(""https://fake.blob.core.windows.net/test""), new Azure.AzureSasCredential(""token""));"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Perf\Perf.AssemblyReference.Benchmarks\Perf.AssemblyReference.Benchmarks.csproj,File,Perf\Perf.AssemblyReference.Benchmarks\Benchmarks\AssemblyReferenceBenchmarks.cs,73,12,M:System.Uri.#ctor(System.String),,,,,"_ = new BlobClient(new Uri(""https://fake.blob.core.windows.net/test""), new Azure.AzureSasCredential(""token""));"
